minint_elettorale,comune,comune_codice,codice_sezione,elettori_totali,elettori_maschi,elettori_femmine,orario,votanti,votanti_maschi,votanti_femmine,percentuale_votanti,percentuale_tornata_precedente,file,com_istat_code
1070370010,AIROLE,10,1,262,147,115,20241027120000,45,0,0,17.18,null,affluenza_comune_037_0010,008001
1070370010,AIROLE,10,1,262,147,115,20241027190000,100,0,0,38.17,null,affluenza_comune_037_0010,008001
1070370010,AIROLE,10,1,262,147,115,20241027230000,111,0,0,42.37,null,affluenza_comune_037_0010,008001
1070370010,AIROLE,10,1,262,147,115,20241028150000,151,79,72,57.63,null,affluenza_comune_037_0010,008001
1070370020,APRICALE,20,1,446,240,206,20241027120000,35,0,0,7.85,null,affluenza_comune_037_0020,008002
1070370020,APRICALE,20,1,446,240,206,20241027190000,80,0,0,17.94,null,affluenza_comune_037_0020,008002
1070370020,APRICALE,20,1,446,240,206,20241027230000,86,0,0,19.28,null,affluenza_comune_037_0020,008002
1070370020,APRICALE,20,1,446,240,206,20241028150000,134,72,62,30.04,null,affluenza_comune_037_0020,008002
1070370030,AQUILA D'ARROSCIA,30,1,173,97,76,20241027120000,19,0,0,10.98,null,affluenza_comune_037_0030,008003
1070370030,AQUILA D'ARROSCIA,30,1,173,97,76,20241027190000,60,0,0,34.68,null,affluenza_comune_037_0030,008003
1070370030,AQUILA D'ARROSCIA,30,1,173,97,76,20241027230000,69,0,0,39.88,null,affluenza_comune_037_0030,008003
1070370030,AQUILA D'ARROSCIA,30,1,173,97,76,20241028150000,90,54,36,52.02,null,affluenza_comune_037_0030,008003
1070370040,ARMO,40,1,85,39,46,20241027120000,14,0,0,16.47,null,affluenza_comune_037_0040,008004
1070370040,ARMO,40,1,85,39,46,20241027190000,30,0,0,35.29,null,affluenza_comune_037_0040,008004
1070370040,ARMO,40,1,85,39,46,20241027230000,32,0,0,37.65,null,affluenza_comune_037_0040,008004
1070370040,ARMO,40,1,85,39,46,20241028150000,52,28,24,61.18,null,affluenza_comune_037_0040,008004
1070370041,AURIGO,41,1,230,117,113,20241027120000,29,0,0,12.61,null,affluenza_comune_037_0041,008005
1070370041,AURIGO,41,1,230,117,113,20241027190000,76,0,0,33.04,null,affluenza_comune_037_0041,008005
1070370041,AURIGO,41,1,230,117,113,20241027230000,94,0,0,40.87,null,affluenza_comune_037_0041,008005
1070370041,AURIGO,41,1,230,117,113,20241028150000,132,69,63,57.39,null,affluenza_comune_037_0041,008005
1070370041,AURIGO,41,2,41,21,20,20241027120000,1,0,0,2.44,null,affluenza_comune_037_0041,008005
1070370041,AURIGO,41,2,41,21,20,20241027190000,18,0,0,43.9,null,affluenza_comune_037_0041,008005
1070370041,AURIGO,41,2,41,21,20,20241027230000,21,0,0,51.22,null,affluenza_comune_037_0041,008005
1070370041,AURIGO,41,2,41,21,20,20241028150000,29,12,17,70.73,null,affluenza_comune_037_0041,008005
1070370050,BADALUCCO,50,1,434,215,219,20241027120000,28,0,0,6.45,null,affluenza_comune_037_0050,008006
1070370050,BADALUCCO,50,1,434,215,219,20241027190000,86,0,0,19.82,null,affluenza_comune_037_0050,008006
1070370050,BADALUCCO,50,1,434,215,219,20241027230000,97,0,0,22.35,null,affluenza_comune_037_0050,008006
1070370050,BADALUCCO,50,1,434,215,219,20241028150000,168,77,91,38.71,null,affluenza_comune_037_0050,008006
1070370050,BADALUCCO,50,2,494,245,249,20241027120000,30,0,0,6.07,null,affluenza_comune_037_0050,008006
1070370050,BADALUCCO,50,2,494,245,249,20241027190000,103,0,0,20.85,null,affluenza_comune_037_0050,008006
1070370050,BADALUCCO,50,2,494,245,249,20241027230000,120,0,0,24.29,null,affluenza_comune_037_0050,008006
1070370050,BADALUCCO,50,2,494,245,249,20241028150000,212,101,111,42.91,null,affluenza_comune_037_0050,008006
1070370060,BAJARDO,60,1,258,135,123,20241027120000,34,0,0,13.18,null,affluenza_comune_037_0060,008007
1070370060,BAJARDO,60,1,258,135,123,20241027190000,65,0,0,25.19,null,affluenza_comune_037_0060,008007
1070370060,BAJARDO,60,1,258,135,123,20241027230000,67,0,0,25.97,null,affluenza_comune_037_0060,008007
1070370060,BAJARDO,60,1,258,135,123,20241028150000,111,64,47,43.02,null,affluenza_comune_037_0060,008007
1070370070,BORDIGHERA,70,1,931,459,472,20241027120000,116,0,0,12.46,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,1,931,459,472,20241027190000,236,0,0,25.35,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,1,931,459,472,20241027230000,257,0,0,27.6,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,1,931,459,472,20241028150000,355,164,191,38.13,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,2,934,430,504,20241027120000,84,0,0,8.99,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,2,934,430,504,20241027190000,200,0,0,21.41,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,2,934,430,504,20241027230000,217,0,0,23.23,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,2,934,430,504,20241028150000,292,132,160,31.26,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,3,842,370,472,20241027120000,83,0,0,9.86,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,3,842,370,472,20241027190000,212,0,0,25.18,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,3,842,370,472,20241027230000,236,0,0,28.03,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,3,842,370,472,20241028150000,327,149,178,38.84,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,4,959,434,525,20241027120000,101,0,0,10.53,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,4,959,434,525,20241027190000,219,0,0,22.84,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,4,959,434,525,20241027230000,239,0,0,24.92,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,4,959,434,525,20241028150000,322,144,178,33.58,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,5,936,431,505,20241027120000,115,0,0,12.29,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,5,936,431,505,20241027190000,279,0,0,29.81,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,5,936,431,505,20241027230000,301,0,0,32.16,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,5,936,431,505,20241028150000,401,188,213,42.84,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,6,816,414,402,20241027120000,92,0,0,11.27,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,6,816,414,402,20241027190000,189,0,0,23.16,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,6,816,414,402,20241027230000,199,0,0,24.39,null,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,6,816,414,402,20241028150000,296,146,150,36.27,null,affluenza_comune_037_0070,008008
