_link,_link_cand,_link_main,pos,desc_lis_c,img_lis_c,voti,perc
0.cand.0.liste.0,0.cand.0,0,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
0.cand.1.liste.0,0.cand.1,0,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
0.cand.2.liste.0,0.cand.2,0,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,0
0.cand.3.liste.0,0.cand.3,0,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
0.cand.4.liste.0,0.cand.4,0,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,0
0.cand.5.liste.0,0.cand.5,0,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
0.cand.6.liste.0,0.cand.6,0,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,0
0.cand.7.liste.0,0.cand.7,0,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,0
0.cand.7.liste.1,0.cand.7,0,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,0
0.cand.7.liste.2,0.cand.7,0,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,0
0.cand.7.liste.3,0.cand.7,0,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,0
0.cand.7.liste.4,0.cand.7,0,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,0
0.cand.7.liste.5,0.cand.7,0,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,0
0.cand.7.liste.6,0.cand.7,0,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,0
0.cand.8.liste.0,0.cand.8,0,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,0
0.cand.8.liste.1,0.cand.8,0,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,0
0.cand.8.liste.2,0.cand.8,0,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,0
0.cand.8.liste.3,0.cand.8,0,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,0
0.cand.8.liste.4,0.cand.8,0,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,0
0.cand.8.liste.5,0.cand.8,0,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,0
1.cand.0.liste.0,1.cand.0,1,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
1.cand.1.liste.0,1.cand.1,1,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
1.cand.2.liste.0,1.cand.2,1,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,0
1.cand.3.liste.0,1.cand.3,1,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
1.cand.4.liste.0,1.cand.4,1,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,0
1.cand.5.liste.0,1.cand.5,1,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
1.cand.6.liste.0,1.cand.6,1,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,0
1.cand.7.liste.0,1.cand.7,1,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,0
1.cand.7.liste.1,1.cand.7,1,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,0
