minint_elettorale,_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_com,int_cod_com,int_desc_prov,int_cod_prov,int_ele_m,int_ele_f,int_ele_t,int_vot_m,int_vot_f,int_vot_t,int_perc_vot,int_sz_pres,int_sz_cons,int_sz_tot,int_fine_rip,int_sk_bianche,int_sk_nulle,int_sk_contestate,int_tot_vot_cand,int_tot_vot_lis,int_non_valid,int_dt_agg,int_data_prec_elez,int_reg_sto,int_prov_sto,int_comu_sto,int_circ_sto,int_tipo_tras,com_istat_code
1070370010,67,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,AIROLE,10,IMPERIA,37,147,115,262,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,10,37,SZ,008001
1070370020,68,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,APRICALE,20,IMPERIA,37,240,206,446,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,20,37,SZ,008002
1070370030,69,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,AQUILA D'ARROSCIA,30,IMPERIA,37,97,76,173,54,36,90,52.02,1,1,1,N,1,2,0,87,87,,20241028170103,20200920000000,7,37,30,37,SZ,008003
1070370040,70,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ARMO,40,IMPERIA,37,39,46,85,28,24,52,61.18,1,1,1,N,0,2,0,50,50,,20241028163635,20200920000000,7,37,40,37,SZ,008004
1070370041,71,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,AURIGO,41,IMPERIA,37,138,133,271,81,80,161,59.41,2,2,2,N,3,2,0,156,149,,20241028171951,20200920000000,7,37,41,37,SZ,008005
1070370050,72,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BADALUCCO,50,IMPERIA,37,460,468,928,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,37,50,37,SZ,008006
1070370060,73,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BAJARDO,60,IMPERIA,37,135,123,258,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,60,37,SZ,008007
1070370070,74,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORDIGHERA,70,IMPERIA,37,4400,4878,9278,0,0,0,0,0,0,10,N,0,0,0,0,0,,,20200920000000,7,37,70,37,SZ,008008
1070370080,75,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORGHETTO D'ARROSCIA,80,IMPERIA,37,179,139,318,70,59,129,40.57,1,1,1,N,5,4,0,120,118,,20241028175516,20200920000000,7,37,80,37,SZ,008009
1070370090,76,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORGOMARO,90,IMPERIA,37,334,315,649,0,0,0,0,2,2,3,N,0,0,0,240,227,,20241028174944,20200920000000,7,37,90,37,SZ,008010
1070370100,77,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CAMPOROSSO,100,IMPERIA,37,2369,2398,4767,0,0,0,0,0,0,5,N,0,0,0,0,0,,,20200920000000,7,37,100,37,SZ,008011
1070370110,78,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CARAVONICA,110,IMPERIA,37,105,81,186,74,56,130,69.89,1,1,1,N,3,4,0,123,117,,20241028175438,20200920000000,7,37,110,37,SZ,008012
1070370130,79,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASTELLARO,130,IMPERIA,37,532,545,1077,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,130,37,SZ,008014
1070370140,80,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASTEL VITTORIO,140,IMPERIA,37,136,113,249,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,140,37,SZ,008015
1070370150,81,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CERIANA,150,IMPERIA,37,484,424,908,142,126,268,29.52,2,2,2,N,7,14,0,247,234,,20241028173413,20200920000000,7,37,150,37,SZ,008016
