table_name,field_name,field_type,field_title,count
main,_link,text,_link,1785
main,note,text,note,1785
main,int_st,text,int_st,1785
main,int_t_ele,text,int_t_ele,1785
main,int_f_elet,text,int_f_elet,1785
main,int_dt_ele,number,int_dt_ele,1785
main,int_l_terr,text,int_l_terr,1785
main,int_area,text,int_area,1785
main,int_desc_sez,text,int_desc_sez,1785
main,int_cod_sez,number,int_cod_sez,1785
main,int_desc_com,text,int_desc_com,1785
main,int_cod_com,number,int_cod_com,1785
main,int_desc_prov,text,int_desc_prov,1785
main,int_cod_prov,number,int_cod_prov,1785
main,int_ele_m,number,int_ele_m,1785
main,int_ele_f,number,int_ele_f,1785
main,int_ele_t,number,int_ele_t,1785
main,int_vot_m,number,int_vot_m,1785
main,int_vot_f,number,int_vot_f,1785
main,int_vot_t,number,int_vot_t,1785
main,int_perc_vot,text,int_perc_vot,1785
main,int_sz_pres,number,int_sz_pres,1785
main,int_sz_cons,number,int_sz_cons,1785
main,int_sz_tot,number,int_sz_tot,1785
main,int_fine_rip,boolean,int_fine_rip,1785
main,int_sk_bianche,number,int_sk_bianche,1785
main,int_sk_nulle,number,int_sk_nulle,1785
main,int_sk_contestate,number,int_sk_contestate,1785
main,int_tot_vot_cand,number,int_tot_vot_cand,1785
main,int_tot_vot_lis,number,int_tot_vot_lis,1785
main,int_non_valid,boolean,int_non_valid,1785
main,int_dt_agg,number,int_dt_agg,1785
main,int_data_prec_elez,boolean,int_data_prec_elez,1785
main,int_osp,text,int_osp,1785
main,int_reg_sto,boolean,int_reg_sto,1785
main,int_prov_sto,boolean,int_prov_sto,1785
main,int_comu_sto,boolean,int_comu_sto,1785
main,int_circ_sto,boolean,int_circ_sto,1785
main,int_sez_sto,boolean,int_sez_sto,1785
cand,_link,text,_link,16065
cand,_link_main,text,_link_main,16065
cand,cogn,text,cogn,16065
cand,nome,text,nome,16065
cand,a_nome,boolean,a_nome,16065
cand,d_nasc,number,d_nasc,16065
cand,l_nasc,text,l_nasc,16065
cand,pos,number,pos,16065
cand,desc_lis_r,boolean,desc_lis_r,16065
cand,img_lis_r,boolean,img_lis_r,16065
cand,voti,number,voti,16065
cand,perc,text,perc,16065
cand,tot_vot_lis,number,tot_vot_lis,16065
cand,perc_lis,text,perc_lis,16065
cand_liste,_link,text,_link,35700
cand_liste,_link_cand,text,_link_cand,35700
cand_liste,_link_main,text,_link_main,35700
cand_liste,pos,number,pos,35700
cand_liste,desc_lis_c,text,desc_lis_c,35700
cand_liste,img_lis_c,text,img_lis_c,35700
cand_liste,voti,number,voti,35700
cand_liste,perc,text,perc,35700
