_link,_link_main,cogn,nome,a_nome,d_nasc,l_nasc,pos,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis
0.cand.0,0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,289,49.57,255,46.62
0.cand.1,0,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,288,49.40,286,52.29
0.cand.2,0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.17,1,0.18
0.cand.3,0,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,1,0.17,1,0.18
0.cand.4,0,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,1,0.17,1,0.18
0.cand.5,0,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.17,1,0.18
0.cand.6,0,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,1,0.17,1,0.18
0.cand.7,0,MORRA,NICOLA,,19630705000000,GENOVA,7,,,1,0.17,1,0.18
0.cand.8,0,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0
1.cand.0,1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,289,51.52,282,53.21
1.cand.1,1,BUCCI,MARCO,,19591031000000,GENOVA,8,,,246,43.85,223,42.08
1.cand.2,1,MORRA,NICOLA,,19630705000000,GENOVA,7,,,11,1.96,11,2.08
1.cand.3,1,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,6,1.07,5,0.94
1.cand.4,1,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,5,0.89,5,0.94
1.cand.5,1,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,3,0.53,3,0.57
1.cand.6,1,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.18,1,0.19
1.cand.7,1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
1.cand.8,1,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
2.cand.0,2,BUCCI,MARCO,,19591031000000,GENOVA,8,,,277,49.91,253,50.50
2.cand.1,2,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,269,48.47,244,48.70
2.cand.2,2,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,3,0.54,2,0.40
2.cand.3,2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,2,0.36,0,0
2.cand.4,2,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,2,0.36,1,0.20
2.cand.5,2,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.18,0,0
2.cand.6,2,MORRA,NICOLA,,19630705000000,GENOVA,7,,,1,0.18,1,0.20
2.cand.7,2,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
2.cand.8,2,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
3.cand.0,3,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,313,50.48,310,52.81
3.cand.1,3,BUCCI,MARCO,,19591031000000,GENOVA,8,,,295,47.58,266,45.32
3.cand.2,3,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,4,0.65,3,0.51
3.cand.3,3,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,3,0.48,3,0.51
3.cand.4,3,MORRA,NICOLA,,19630705000000,GENOVA,7,,,3,0.48,1,0.17
3.cand.5,3,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,1,0.16,0,0
3.cand.6,3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.16,1,0.17
3.cand.7,3,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,1,0.17
3.cand.8,3,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,2,0.34
4.cand.0,4,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,302,55.51,292,58.99
4.cand.1,4,BUCCI,MARCO,,19591031000000,GENOVA,8,,,221,40.63,200,40.40
4.cand.2,4,MORRA,NICOLA,,19630705000000,GENOVA,7,,,5,0.92,2,0.40
4.cand.3,4,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,4,0.74,0,0
4.cand.4,4,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,4,0.74,0,0
4.cand.5,4,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,4,0.74,1,0.20
4.cand.6,4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,2,0.37,0,0
